"Date","Price","Volume","Market_cap"
"2023-11-06 00:00:00 UTC+0","0.00031350","280757.117441","2523721.71904009"
"2023-11-05 00:00:00 UTC+0","0.00029392","206125.791406","2366130.24095639"
"2023-11-04 00:00:00 UTC+0","0.00014928","19000.014036","1201687.71418305"
"2023-11-03 00:00:00 UTC+0","0.00011944","15781.454511","961490.87014033"
"2023-11-02 00:00:00 UTC+0","0.00010095","3579.549577","812640.89392944"
"2023-11-01 00:00:00 UTC+0","0.00009161","1776.278838","737465.75971670"
"2023-10-31 00:00:00 UTC+0","0.00009250","3170.668660","744627.76993174"
"2023-10-30 00:00:00 UTC+0","0.00010019","3242.834591","806505.03034000"
"2023-10-29 00:00:00 UTC+0","0.00009518","8759.254807","766238.98343824"
"2023-10-28 00:00:00 UTC+0","0.00011118","12536.344351","895024.41233715"
"2023-10-27 00:00:00 UTC+0","0.00012597","5399.940641","1014069.07821740"
"2023-10-26 00:00:00 UTC+0","0.00012915","38614.267492","1039688.59609997"
"2023-10-25 00:00:00 UTC+0","0.00011499","8205.241783","925674.60518488"
"2023-10-24 00:00:00 UTC+0","0.00011896","40731.111155","957604.26212401"
"2023-10-23 00:00:00 UTC+0","0.00008479","3197.548901","682536.06561859"
"2023-10-22 00:00:00 UTC+0","0.00007251","2377.576653","583707.68758240"
"2023-10-21 00:00:00 UTC+0","0.00007674","2974.449256","617760.67460925"
"2023-10-20 00:00:00 UTC+0","0.00007009","3162.067159","564207.73529845"
"2023-10-19 00:00:00 UTC+0","0.00006101","7143.172884","491143.97820671"
"2023-10-18 00:00:00 UTC+0","0.00005760","485.983381","463720.31821562"
"2023-10-17 00:00:00 UTC+0","0.00005842","2014.578559","470318.12774125"
"2023-10-16 00:00:00 UTC+0","0.00005659","7584.692650","455560.13376236"
"2023-10-15 00:00:00 UTC+0","0.00006745","1411.591670","543007.83997080"
"2023-10-14 00:00:00 UTC+0","0.00006711","4884.516777","540275.08839595"
"2023-10-13 00:00:00 UTC+0","0.00006216","11414.044651","500362.00315552"
"2023-10-12 00:00:00 UTC+0","0.00005450","6096.653498","438720.62638092"
"2023-10-11 00:00:00 UTC+0","0.00006331","53500.738936","509665.38344277"
"2023-10-10 00:00:00 UTC+0","0.00009748","831.426285","784689.18382226"
"2023-10-09 00:00:00 UTC+0","0.00010189","672.567310","820216.63373873"
"2023-10-08 00:00:00 UTC+0","0.00010472","8339.325621","843030.30911039"
"2023-10-07 00:00:00 UTC+0","0.00011310","6572.439594","910434.70513814"
"2023-10-06 00:00:00 UTC+0","0.00011509","3441.353443","926470.40984867"
"2023-10-05 00:00:00 UTC+0","0.00010934","1635.994527","880223.37206087"
"2023-10-04 00:00:00 UTC+0","0.00010862","6937.297698","874412.49093523"
"2023-10-03 00:00:00 UTC+0","0.00011150","14135.712278","897587.63145984"
"2023-10-02 00:00:00 UTC+0","0.00012549","121649.749870","1010196.24704232"
"2023-10-01 00:00:00 UTC+0","0.00011551","17595.603663","929861.79616599"
"2023-09-30 00:00:00 UTC+0","0.00012678","31467.753817","1020578.66222320"
"2023-09-29 00:00:00 UTC+0","0.00012861","37395.631675","1035355.58973931"
"2023-09-28 00:00:00 UTC+0","0.00013377","2759.009118","1076876.56693062"
"2023-09-27 00:00:00 UTC+0","0.00012374","20834.427783","996146.51615981"
"2023-09-26 00:00:00 UTC+0","0.00012952","6157.474608","1042635.92194663"
"2023-09-25 00:00:00 UTC+0","0.00012805","12052.184875","1030805.02572918"
"2023-09-24 00:00:00 UTC+0","0.00013205","3261.313673","1062997.76384399"
"2023-09-23 00:00:00 UTC+0","0.00012871","11609.862151","1036134.25716801"
"2023-09-22 00:00:00 UTC+0","0.00012873","6409.148185","1036297.76741110"
"2023-09-21 00:00:00 UTC+0","0.00013427","37815.603167","1080880.38010154"
"2023-09-20 00:00:00 UTC+0","0.00015269","2415.749645","1229194.07861036"
"2023-09-19 00:00:00 UTC+0","0.00015824","10777.778902","1273857.39952931"
"2023-09-18 00:00:00 UTC+0","0.00015797","11956.980243","1271647.91787401"
