"Date","Price","Volume","Market_cap"
"2023-11-10 00:00:00 UTC+0","0.00000133","145190038.316215","561054861.16656030"
"2023-11-09 00:00:00 UTC+0","0.00000133","342145168.107904","560327404.63991940"
"2023-11-08 00:00:00 UTC+0","0.00000119","70920568.586958","498597306.12060910"
"2023-11-07 00:00:00 UTC+0","0.00000117","95916836.625599","491701072.90832216"
"2023-11-06 00:00:00 UTC+0","0.00000120","113872877.806662","503318552.95670795"
"2023-11-05 00:00:00 UTC+0","0.00000112","64338180.952688","472451328.40498010"
"2023-11-04 00:00:00 UTC+0","0.00000112","59786877.159077","470636967.78897290"
"2023-11-03 00:00:00 UTC+0","0.00000108","72396573.025702","452851162.17134535"
"2023-11-02 00:00:00 UTC+0","0.00000109","108881300.069594","459212031.55286497"
"2023-11-01 00:00:00 UTC+0","0.00000119","125782257.295744","498883896.62956053"
"2023-10-31 00:00:00 UTC+0","0.00000115","91728504.653933","483538417.93227510"
"2023-10-30 00:00:00 UTC+0","0.00000118","110818895.501356","494754522.83035480"
"2023-10-29 00:00:00 UTC+0","0.00000115","68756411.631260","483308297.39211400"
"2023-10-28 00:00:00 UTC+0","0.00000115","82442510.858798","481909166.70243820"
"2023-10-27 00:00:00 UTC+0","0.00000117","165348529.895112","490591436.20629495"
"2023-10-26 00:00:00 UTC+0","0.00000129","345551219.879989","541074607.37182680"
"2023-10-25 00:00:00 UTC+0","0.00000121","362385281.951424","506981727.87264580"
"2023-10-24 00:00:00 UTC+0","0.00000092","345733422.691207","387891588.40228500"
"2023-10-23 00:00:00 UTC+0","0.00000100","162154327.026383","421046517.16028900"
"2023-10-22 00:00:00 UTC+0","0.00000075","98882621.350424","314948235.61567300"
"2023-10-21 00:00:00 UTC+0","0.00000070","67700302.599794","294293258.11732227"
"2023-10-20 00:00:00 UTC+0","0.00000066","49138835.371517","277191689.97598600"
"2023-10-19 00:00:00 UTC+0","0.00000063","32831937.915096","264503338.70518246"
"2023-10-18 00:00:00 UTC+0","0.00000063","39209689.616186","265543125.51034188"
"2023-10-17 00:00:00 UTC+0","0.00000064","42524450.034657","268301384.99418086"
"2023-10-16 00:00:00 UTC+0","0.00000068","65287341.030886","284796694.65960510"
"2023-10-15 00:00:00 UTC+0","0.00000067","51657329.324280","280041182.61417170"
"2023-10-14 00:00:00 UTC+0","0.00000065","25828184.887336","272416718.78082323"
"2023-10-13 00:00:00 UTC+0","0.00000065","43363583.657821","272887582.82717705"
"2023-10-12 00:00:00 UTC+0","0.00000063","35471434.290420","264080956.73291284"
"2023-10-11 00:00:00 UTC+0","0.00000064","98458568.994503","269419312.86044550"
"2023-10-10 00:00:00 UTC+0","0.00000065","34151887.541230","272564277.98843530"
"2023-10-09 00:00:00 UTC+0","0.00000066","50106248.528808","279376584.16750210"
"2023-10-08 00:00:00 UTC+0","0.00000072","35280119.459674","300863594.42163250"
"2023-10-07 00:00:00 UTC+0","0.00000071","28928626.834227","297897914.95834280"
"2023-10-06 00:00:00 UTC+0","0.00000073","49011783.099347","306169024.06249350"
"2023-10-05 00:00:00 UTC+0","0.00000070","45159186.685980","295278187.61243397"
"2023-10-04 00:00:00 UTC+0","0.00000072","44553013.425930","302568201.25425010"
"2023-10-03 00:00:00 UTC+0","0.00000072","51482187.688980","304139146.66284025"
"2023-10-02 00:00:00 UTC+0","0.00000075","94897758.158403","314063238.83363880"
"2023-10-01 00:00:00 UTC+0","0.00000082","68071471.875979","343562068.02018030"
"2023-09-30 00:00:00 UTC+0","0.00000080","70022711.149895","337576224.33021020"
"2023-09-29 00:00:00 UTC+0","0.00000079","83125768.109103","333358952.80049515"
"2023-09-28 00:00:00 UTC+0","0.00000074","54473108.396672","309567798.91790330"
"2023-09-27 00:00:00 UTC+0","0.00000073","73645648.215008","308890848.36286760"
"2023-09-26 00:00:00 UTC+0","0.00000070","38891188.683012","293077350.17524270"
"2023-09-25 00:00:00 UTC+0","0.00000071","35282014.770006","298886977.89256670"
"2023-09-24 00:00:00 UTC+0","0.00000067","44964675.212644","283116541.77523860"
"2023-09-23 00:00:00 UTC+0","0.00000068","80839776.767138","284873862.44093317"
"2023-09-22 00:00:00 UTC+0","0.00000072","117448715.439943","301965897.52642787"
"2023-09-21 00:00:00 UTC+0","0.00000061","28679163.114585","258566729.34233388"
"2023-09-20 00:00:00 UTC+0","0.00000063","34423489.707192","263658055.94007313"
"2023-09-19 00:00:00 UTC+0","0.00000064","29368692.308771","270064648.48289144"
"2023-09-18 00:00:00 UTC+0","0.00000063","42567169.314459","262983632.33735010"
"2023-09-17 00:00:00 UTC+0","0.00000063","42849461.004009","264401651.19693556"
"2023-09-16 00:00:00 UTC+0","0.00000068","32792422.767281","285219442.53457460"
"2023-09-15 00:00:00 UTC+0","0.00000069","44609172.671337","288347721.95919806"
"2023-09-14 00:00:00 UTC+0","0.00000068","41672153.882750","287024460.39512384"
"2023-09-13 00:00:00 UTC+0","0.00000067","50856609.797152","283567758.92212290"
"2023-09-12 00:00:00 UTC+0","0.00000067","51860636.730128","282416825.61030126"
"2023-09-11 00:00:00 UTC+0","0.00000067","66523224.811707","281576055.61753225"
"2023-09-10 00:00:00 UTC+0","0.00000070","61353028.973909","296342852.77432340"
"2023-09-09 00:00:00 UTC+0","0.00000079","23756099.585718","330469775.99965040"
"2023-09-08 00:00:00 UTC+0","0.00000080","41148204.160752","335612660.92545056"
"2023-09-07 00:00:00 UTC+0","0.00000081","40640793.072275","339124721.60933820"
"2023-09-06 00:00:00 UTC+0","0.00000079","49126409.315437","334324146.85814065"
"2023-09-05 00:00:00 UTC+0","0.00000080","40005113.189468","337148428.36413050"
"2023-09-04 00:00:00 UTC+0","0.00000080","55059174.399629","336125935.74078107"
"2023-09-03 00:00:00 UTC+0","0.00000080","36924212.967405","338379976.73080933"
"2023-09-02 00:00:00 UTC+0","0.00000079","52339635.351042","331194292.69072300"
"2023-09-01 00:00:00 UTC+0","0.00000078","81298791.108846","327216259.24780804"
"2023-08-31 00:00:00 UTC+0","0.00000081","79640294.334179","338968720.81641364"
"2023-08-30 00:00:00 UTC+0","0.00000087","57943919.525879","364657813.04722244"
"2023-08-29 00:00:00 UTC+0","0.00000089","132832409.275158","376266605.75455640"
"2023-08-28 00:00:00 UTC+0","0.00000086","67431186.525972","360793775.67109160"
"2023-08-27 00:00:00 UTC+0","0.00000090","76751517.372874","377180009.90691674"
"2023-08-26 00:00:00 UTC+0","0.00000087","152648263.875272","364396021.12123907"
